user_id,purchase_ts,revenue
ca98e36115b62b26813347438dd6734a,2022-11-15 07:12:25.819192,2.06
55b2f341992612aa3bf3b5757065bd85,2022-11-23 23:54:37.095631,6.82
4dc2bb839441a865d8f03a0e0fb47758,2022-11-21 14:40:42.565536,0.00
cd10f5b6e13cb51b159b8e6bc37d3362,2022-11-29 12:09:10.853598,0.00
cd10f5b6e13cb51b159b8e6bc37d3362,2022-11-29 02:51:10.317947,3.70
cd10f5b6e13cb51b159b8e6bc37d3362,2022-11-29 14:10:16.222968,3.93
cd10f5b6e13cb51b159b8e6bc37d3362,2022-11-29 07:55:58.602481,4.04
ddfd61d262714f403591a40b579b0bb0,2022-11-22 13:24:14.164213,1.88
cd10f5b6e13cb51b159b8e6bc37d3362,2022-11-29 08:00:00.719815,3.93
4dc2bb839441a865d8f03a0e0fb47758,2022-12-09 10:19:46.403337,2.37
cd10f5b6e13cb51b159b8e6bc37d3362,2022-11-29 04:17:52.486675,3.70
ca98e36115b62b26813347438dd6734a,2022-11-15 07:12:25.819192,2.06
cd10f5b6e13cb51b159b8e6bc37d3362,2022-11-27 14:57:33.767719,3.96
55b2f341992612aa3bf3b5757065bd85,2022-11-30 06:53:22.990064,16.52
ddfd61d262714f403591a40b579b0bb0,2022-11-23 09:57:56.523620,4.17
cd10f5b6e13cb51b159b8e6bc37d3362,2022-11-29 11:59:15.332519,0.00
55b2f341992612aa3bf3b5757065bd85,2022-11-30 10:48:01.466489,9.07
cd10f5b6e13cb51b159b8e6bc37d3362,2022-11-29 14:08:41.649494,3.93
61347b0b6524bc1c640e4f70899b23a5,2022-12-09 19:29:40.180004,0.93
3ef205da3063e39f50ae62333a4baeb0,2022-12-02 04:47:18.072146,6.31
271b7922d3ea52c9ed025c7f54764aa5,2022-11-25 17:29:28.371161,0.31
8f874bb51bf7cd369213243a0a23fc8b,2022-11-21 11:53:50.199821,0.40
edb7c77ed45d1264ede26bbfbc9917d2,2022-11-19 10:12:45.390868,3.16
e11636e274a1ddc96ffae5a0d0b34c43,2022-11-11 12:16:48.656124,5.82
4df31341ff894559b268e09f7408ad98,2022-12-12 16:22:43.939626,0.33
1083533e0d7279a7b0ecbd495853209a,2022-12-02 12:31:54.932490,4.54
cbbb8eaba5e747db05276d151a48660f,2022-11-27 08:06:44.860648,3.36
8f874bb51bf7cd369213243a0a23fc8b,2022-12-05 15:01:13.302526,0.44
271b7922d3ea52c9ed025c7f54764aa5,2022-11-25 17:25:05.597520,0.31
edb7c77ed45d1264ede26bbfbc9917d2,2022-11-23 14:41:03.721204,2.61
bae0cb2b858e8df24c2685220a880bef,2022-11-25 17:20:44.198790,0.67
48cc938ccf2fc5f93312b221c64aacdf,2022-11-20 17:51:29.439057,2.27
8f874bb51bf7cd369213243a0a23fc8b,2022-11-21 11:44:33.682260,0.40
8f874bb51bf7cd369213243a0a23fc8b,2022-11-21 11:53:50.199821,0.40
61347b0b6524bc1c640e4f70899b23a5,2022-12-09 19:03:24.347664,1.86
8f874bb51bf7cd369213243a0a23fc8b,2022-12-04 08:57:12.921021,0.31
8de44733bcf1fded283e1b980520a186,2022-12-17 07:41:02.397339,3.18
61347b0b6524bc1c640e4f70899b23a5,2022-12-09 19:26:49.245621,0.93
8f874bb51bf7cd369213243a0a23fc8b,2022-12-04 09:04:02.340137,0.28
