campaign_id,pdate,cost
18796908459,2022-11-08,18.838851
14883589082,2022-11-18,34.840000
18529088791,2022-11-13,3.089742
14883589082,2022-11-17,36.500000
18529088791,2022-11-22,14.281444
18529088791,2022-11-27,10.266489
14318431803,2022-11-27,16.460194
18870069966,2022-11-10,12.140000
15010179776,2022-11-18,40.210000
14883589082,2022-11-10,40.780000
14318431803,2022-11-25,18.779242
14881642792,2022-11-24,7.560000
14881642792,2022-11-23,6.540000
18796908459,2022-11-11,7.121223
14318431803,2022-11-20,17.391617
18796908459,2022-11-20,16.523141
15010179776,2022-11-04,76.880000
18796908459,2022-11-13,16.995905
18796908459,2022-11-17,16.690756
18529088791,2022-11-11,2.483101
18340470460,2022-11-16,1.468425
18725479090,2022-11-24,50.534478
18340470460,2022-11-09,0.256114
18529088791,2022-11-18,5.792367
18529088791,2022-11-06,3.057022
18796908459,2022-11-18,15.440333
18340470460,2022-11-30,4.897180
15010179776,2022-11-14,75.040000
18529088791,2022-11-04,8.551254
14318431803,2022-11-04,29.028801
18869995641,2022-11-24,40.040000
18340470460,2022-11-20,2.576486
14881642792,2022-11-27,5.780000
18725479090,2022-11-18,50.297472
14883589082,2022-11-07,33.330000
18529088791,2022-11-09,2.277880
18529088791,2022-11-05,4.457753
18340470460,2022-11-26,2.397872
15692110275,2022-11-18,18.340000
18725479090,2022-11-19,49.871504
18725479090,2022-11-09,76.952100
14883589082,2022-11-26,18.030000
14318431803,2022-11-23,17.065776
14318431803,2022-11-24,15.467611
18340470460,2022-11-07,1.700682
18725479090,2022-11-11,70.523055
18340470460,2022-11-28,1.450562
18529088791,2022-11-30,2.759607
14318431803,2022-11-28,16.892120
18796908459,2022-11-30,6.650899
18725479090,2022-11-25,48.458683
18796908459,2022-11-16,14.848264
14883589082,2022-11-04,33.360000
18725479090,2022-11-03,31.130149
14318431803,2022-11-19,18.170437
18796908459,2022-11-22,14.670007
14883589082,2022-11-30,23.320000
14881642792,2022-11-26,6.130000
18796908459,2022-11-28,15.035372
18725479090,2022-11-12,94.679405
14883589082,2022-11-12,35.140000
17497274587,2022-11-15,62.130000
18725479090,2022-11-29,33.994091
18340470460,2022-11-04,0.364330
17480926698,2022-11-11,8.580000
18796908459,2022-11-25,13.196440
14883589082,2022-11-19,30.280000
18340470460,2022-11-23,4.518220
18529088791,2022-11-03,9.818522
14318431803,2022-11-09,21.370171
18725479090,2022-11-07,80.471518
14318431803,2022-11-11,15.768065
14318431803,2022-11-18,21.195254
15692110281,2022-11-05,3.190000
18725479090,2022-11-16,49.807607
17497274587,2022-11-21,31.820000
18529088791,2022-11-10,2.421746
18340470460,2022-11-25,3.954001
18796908459,2022-11-29,7.106827
14883589082,2022-11-16,36.670000
14318431803,2022-11-05,28.252993
18340470460,2022-11-13,0.857325
18796908459,2022-11-24,13.035826
18796908459,2022-11-27,13.739955
18529088791,2022-11-16,4.705369
18529088791,2022-11-26,11.251526
18340470460,2022-11-15,1.133795
18340470460,2022-11-10,0.658565
18869995641,2022-11-11,54.240000
14318431803,2022-11-16,17.498652
18725479090,2022-11-23,51.661720
18725479090,2022-11-10,64.980396
18340470460,2022-11-12,1.046448
18340470460,2022-11-17,0.696121
14883589082,2022-11-27,23.170000
14881642792,2022-11-22,5.730000
15010179776,2022-11-17,44.986470
18796908459,2022-11-15,13.544856
18529088791,2022-11-14,4.478490
18529088791,2022-11-17,5.821280
18796908459,2022-11-09,15.813910
14883589082,2022-11-08,35.040000
